SiteCode,Link
LHMA,https://app.ninjarmm.com/agent/installer/c9dad25e-0602-48da-aedb-2419dc555d16/lilachealthlhmalakemariam-5.7.9157-windows-installer.msi
LHOH,https://app.ninjarmm.com/agent/installer/c9dad25e-0602-48da-aedb-2419dc555d16/lilachealthlhoholdsmar-5.7.9157-windows-installer.msi
LHDC,https://app.ninjarmm.com/agent/installer/c9dad25e-0602-48da-aedb-2419dc555d16/lilachealthlhdcdadecity-5.7.9157-windows-installer.msi
LHSA,https://app.ninjarmm.com/agent/installer/c9dad25e-0602-48da-aedb-2419dc555d16/lilachealthlhsastandrews-5.7.9157-windows-installer.msi
LHBR,https://app.ninjarmm.com/agent/installer/c9dad25e-0602-48da-aedb-2419dc555d16/lilachealthlhbrbrynwood-5.7.9157-windows-installer.msi
LHRW,https://app.ninjarmm.com/agent/installer/c9dad25e-0602-48da-aedb-2419dc555d16/lilachealthlhrwregentsparkwinterpark-5.7.9157-windows-installer.msi
LHLM,https://app.ninjarmm.com/agent/installer/c9dad25e-0602-48da-aedb-2419dc555d16/lilachealthlhlmlakemontgomery-5.7.9157-windows-installer.msi
LHBH,https://app.ninjarmm.com/agent/installer/c9dad25e-0602-48da-aedb-2419dc555d16/lilachealthlhbhbalanced-5.7.9157-windows-installer.msi
LHVH,https://app.ninjarmm.com/agent/installer/c9dad25e-0602-48da-aedb-2419dc555d16/lilachealthlhvhvenice-5.7.9157-windows-installer.msi
LHAV,https://app.ninjarmm.com/agent/installer/c9dad25e-0602-48da-aedb-2419dc555d16/lilachealthlhavsuwanneevalley-5.7.9157-windows-installer.msi
LHSP,https://app.ninjarmm.com/agent/installer/c9dad25e-0602-48da-aedb-2419dc555d16/lilachealthlhspsilverpalms-5.7.9157-windows-installer.msi
LHSH,https://app.ninjarmm.com/agent/installer/c9dad25e-0602-48da-aedb-2419dc555d16/lilachealthlhshseabranch-5.7.9157-windows-installer.msi
LHRC,https://app.ninjarmm.com/agent/installer/c9dad25e-0602-48da-aedb-2419dc555d16/lilachealthlhrcriverchase-5.7.9157-windows-installer.msi
LHAC,https://app.ninjarmm.com/agent/installer/c9dad25e-0602-48da-aedb-2419dc555d16/lilachealthlhacanchorcare-5.7.9157-windows-installer.msi
LHBC,https://app.ninjarmm.com/agent/installer/c9dad25e-0602-48da-aedb-2419dc555d16/lilachealthlhbcbrentwoodalfilf-5.7.9157-windows-installer.msi
LHBE,https://app.ninjarmm.com/agent/installer/c9dad25e-0602-48da-aedb-2419dc555d16/lilachealthlhbebrookshire-5.7.9157-windows-installer.msi
LHLB,https://app.ninjarmm.com/agent/installer/c9dad25e-0602-48da-aedb-2419dc555d16/lilachealthlhlblabelle-5.7.9157-windows-installer.msi
LHRP,https://app.ninjarmm.com/agent/installer/c9dad25e-0602-48da-aedb-2419dc555d16/lilachealthlhrproyalpalmbeach-5.7.9157-windows-installer.msi
