organizationName,,Link
Abigail Rehab Center,ABGL,https://app.ninjarmm.com/agent/installer/cea3217f-2cef-47a3-a2b5-e97e7f3973d9/abigailrehabcenterabglabigailrehab-5.7.9157-windows-installer.msi
Alliance Health Group,ALDG,https://app.ninjarmm.com/agent/installer/8c78257c-e467-4d7f-bc40-5479a2b79792/alliancehealthgroupaldgdahliagardens-5.7.9157-windows-installer.msi
Alliance Health Group,ALRV,https://app.ninjarmm.com/agent/installer/8c78257c-e467-4d7f-bc40-5479a2b79792/alliancehealthgroupalrvridgevalley-5.7.9157-windows-installer.msi
Alliance Health Group,ALCH,https://app.ninjarmm.com/agent/installer/8c78257c-e467-4d7f-bc40-5479a2b79792/alliancehealthgroupalchcedarhills-5.7.9157-windows-installer.msi
Alliance Health Group,ALLD,https://app.ninjarmm.com/agent/installer/8c78257c-e467-4d7f-bc40-5479a2b79792/alliancehealthgroupalldlindenplace-5.7.9157-windows-installer.msi
Alliance Health Group,ALWV,https://app.ninjarmm.com/agent/installer/8c78257c-e467-4d7f-bc40-5479a2b79792/alliancehealthgroupalwvwillowvalley-5.7.9157-windows-installer.msi
Alliance Health Group,ALCG,https://app.ninjarmm.com/agent/installer/8c78257c-e467-4d7f-bc40-5479a2b79792/alliancehealthgroupalcgcamelliagardens-5.7.9157-windows-installer.msi
Alliance Health Group,ALCV,https://app.ninjarmm.com/agent/installer/8c78257c-e467-4d7f-bc40-5479a2b79792/alliancehealthgroupalcvcypressvalley-5.7.9157-windows-installer.msi
Alliance Health Group,ALNC,https://app.ninjarmm.com/agent/installer/8c78257c-e467-4d7f-bc40-5479a2b79792/alliancehealthgroupalnccorporate-5.7.9157-windows-installer.msi
Alliance Health Group,ALLV,https://app.ninjarmm.com/agent/installer/8c78257c-e467-4d7f-bc40-5479a2b79792/alliancehealthgroupallvlotusvillage-5.7.9157-windows-installer.msi
Alliance Health Group,ALMC,https://app.ninjarmm.com/agent/installer/8c78257c-e467-4d7f-bc40-5479a2b79792/alliancehealthgroupalmcmillcreek-5.7.9157-windows-installer.msi
Alliance Health Group,ALMG,https://app.ninjarmm.com/agent/installer/8c78257c-e467-4d7f-bc40-5479a2b79792/alliancehealthgroupalmgmagnoliagardens-5.7.9157-windows-installer.msi
Alliance Health Group,ALPA,https://app.ninjarmm.com/agent/installer/8c78257c-e467-4d7f-bc40-5479a2b79792/alliancehealthgroupalpapineacres-5.7.9157-windows-installer.msi
Alliance Health Group,ALPH,https://app.ninjarmm.com/agent/installer/8c78257c-e467-4d7f-bc40-5479a2b79792/alliancehealthgroupalphpiedmonthills-5.7.9157-windows-installer.msi
Ark Healthcare Management,AKBH,https://app.ninjarmm.com/agent/installer/0368077d-4b48-479f-9965-b846f1c407a3/arkhealthcaremanagementakbhbranford-5.7.9157-windows-installer.msi
Ark Healthcare Management,AKGH,https://app.ninjarmm.com/agent/installer/0368077d-4b48-479f-9965-b846f1c407a3/arkhealthcaremanagementakghgovernorshouse-5.7.9157-windows-installer.msi
Ark Healthcare Management,AKSC,https://app.ninjarmm.com/agent/installer/0368077d-4b48-479f-9965-b846f1c407a3/arkhealthcaremanagementaksccamilliuscenter-5.7.9157-windows-installer.msi
Ascent Healthcare Management,AHBM,https://app.ninjarmm.com/agent/installer/32af3287-9e56-4938-af7a-9156e7282be4/ascenthealthcaremanagementahbmbearmountain-5.7.9157-windows-installer.msi
Ascent Healthcare Management,AHDM,https://app.ninjarmm.com/agent/installer/32af3287-9e56-4938-af7a-9156e7282be4/ascenthealthcaremanagementahdmdeltamanor-5.7.9157-windows-installer.msi
Ascent Healthcare Management,AHEH,https://app.ninjarmm.com/agent/installer/32af3287-9e56-4938-af7a-9156e7282be4/ascenthealthcaremanagementahehelevatehealth-5.7.9157-windows-installer.msi
Ascent Healthcare Management,AHHH,https://app.ninjarmm.com/agent/installer/32af3287-9e56-4938-af7a-9156e7282be4/ascenthealthcaremanagementahhhhilltop-5.7.9157-windows-installer.msi
Ascent Healthcare Management,AHLR,https://app.ninjarmm.com/agent/installer/32af3287-9e56-4938-af7a-9156e7282be4/ascenthealthcaremanagementahlrlincolnresidential-5.7.9157-windows-installer.msi
Ascent Healthcare Management,AHMM,https://app.ninjarmm.com/agent/installer/32af3287-9e56-4938-af7a-9156e7282be4/ascenthealthcaremanagementahmmmadisoncourt-5.7.9157-windows-installer.msi
Ascent Healthcare Management,AHOV,https://app.ninjarmm.com/agent/installer/32af3287-9e56-4938-af7a-9156e7282be4/ascenthealthcaremanagementahovorchardvalley-5.7.9157-windows-installer.msi
Ascent Healthcare Management,AHRH,https://app.ninjarmm.com/agent/installer/32af3287-9e56-4938-af7a-9156e7282be4/ascenthealthcaremanagementahrhrollinghills-5.7.9157-windows-installer.msi
Ascent Healthcare Management,AHSR,https://app.ninjarmm.com/agent/installer/32af3287-9e56-4938-af7a-9156e7282be4/ascenthealthcaremanagementahsrsapphireridge-5.7.9157-windows-installer.msi
Ascent Healthcare Management,AHSV,https://app.ninjarmm.com/agent/installer/32af3287-9e56-4938-af7a-9156e7282be4/ascenthealthcaremanagementahsvswannanoavalley-5.7.9157-windows-installer.msi
Ascent Healthcare Management,ASND,https://app.ninjarmm.com/agent/installer/32af3287-9e56-4938-af7a-9156e7282be4/ascenthealthcaremanagementasndcorporate-5.7.9157-windows-installer.msi
Aspire Healthcare,AHJT,https://app.ninjarmm.com/agent/installer/92f44042-4069-424e-b532-36c1a9a1934f/aspirehealthcareahjtjacksontwpoffice-5.7.9157-windows-installer.msi
Aspire Healthcare,ASOM,https://app.ninjarmm.com/agent/installer/92f44042-4069-424e-b532-36c1a9a1934f/aspirehealthcareasomoldsmar-5.7.9157-windows-installer.msi
Aspire Healthcare,ASAS,https://app.ninjarmm.com/agent/installer/92f44042-4069-424e-b532-36c1a9a1934f/aspirehealthcareasasarborsprings-5.7.9157-windows-installer.msi
Aspire Healthcare,ASPH,https://app.ninjarmm.com/agent/installer/92f44042-4069-424e-b532-36c1a9a1934f/aspirehealthcareasphpalmharbor-5.7.9157-windows-installer.msi
Aspire Healthcare,ASSK,https://app.ninjarmm.com/agent/installer/92f44042-4069-424e-b532-36c1a9a1934f/aspirehealthcareassksandkey-5.7.9157-windows-installer.msi
Aspire Healthcare,ASRH,https://app.ninjarmm.com/agent/installer/92f44042-4069-424e-b532-36c1a9a1934f/aspirehealthcareasrhridgehaven-5.7.9157-windows-installer.msi
Atlantis Senior Living,ASNF,https://app.ninjarmm.com/agent/installer/52337402-e430-49b3-84bc-73c8fe556488/atlantisseniorlivingasnfnorfolk-5.7.9157-windows-installer.msi
Atlantis Senior Living,ASPM,https://app.ninjarmm.com/agent/installer/52337402-e430-49b3-84bc-73c8fe556488/atlantisseniorlivingaspmportsmouth-5.7.9157-windows-installer.msi
Atria Builders LLC,8MDR,https://app.ninjarmm.com/agent/installer/69b2153a-c897-4b38-b907-c7001d9dd083/atriabuildersllc8mdr-5.7.9157-windows-installer.msi
August Healthcare,AUHW,https://app.ninjarmm.com/agent/installer/85ff3f6c-b4fc-4533-9612-85948c6882dc/augusthealthcareauhwwilson-5.7.9157-windows-installer.msi
August Healthcare,AUAH,https://app.ninjarmm.com/agent/installer/85ff3f6c-b4fc-4533-9612-85948c6882dc/augusthealthcareauahahoskie-5.7.9157-windows-installer.msi
August Healthcare,AHCC,https://app.ninjarmm.com/agent/installer/85ff3f6c-b4fc-4533-9612-85948c6882dc/augusthealthcareahcccreekside-5.7.9157-windows-installer.msi
August Healthcare,AURM,https://app.ninjarmm.com/agent/installer/85ff3f6c-b4fc-4533-9612-85948c6882dc/augusthealthcareaurmrichmond-5.7.9157-windows-installer.msi
August Healthcare,AULW,https://app.ninjarmm.com/agent/installer/85ff3f6c-b4fc-4533-9612-85948c6882dc/augusthealthcareaulwleewood-5.7.9157-windows-installer.msi
August Healthcare,AURH,https://app.ninjarmm.com/agent/installer/85ff3f6c-b4fc-4533-9612-85948c6882dc/augusthealthcareaurhrosemanor-5.7.9157-windows-installer.msi
August Healthcare,AUSM,https://app.ninjarmm.com/agent/installer/85ff3f6c-b4fc-4533-9612-85948c6882dc/augusthealthcareausmscotlandmanor-5.7.9157-windows-installer.msi
August Healthcare,AUDL,https://app.ninjarmm.com/agent/installer/85ff3f6c-b4fc-4533-9612-85948c6882dc/augusthealthcareaudlgates-5.7.9157-windows-installer.msi
August Healthcare,AUGH,https://app.ninjarmm.com/agent/installer/85ff3f6c-b4fc-4533-9612-85948c6882dc/augusthealthcareaughcorporate-5.7.9157-windows-installer.msi
August Healthcare,AUIL,https://app.ninjarmm.com/agent/installer/85ff3f6c-b4fc-4533-9612-85948c6882dc/augusthealthcareauililiff-5.7.9157-windows-installer.msi
August Healthcare,AUWM,https://app.ninjarmm.com/agent/installer/85ff3f6c-b4fc-4533-9612-85948c6882dc/augusthealthcareauwmwilmington-5.7.9157-windows-installer.msi
Azria Health,AHOT,https://app.ninjarmm.com/agent/installer/7dbef0b6-13cf-418e-af40-e10fb7b7b18c/azriahealthahotolathe-5.7.9157-windows-installer.msi
Azria Health,AZBH,https://app.ninjarmm.com/agent/installer/7dbef0b6-13cf-418e-af40-e10fb7b7b18c/azriahealthazbhbluehill-5.7.9157-windows-installer.msi
Azria Health,AZPA,https://app.ninjarmm.com/agent/installer/7dbef0b6-13cf-418e-af40-e10fb7b7b18c/azriahealthazpaparkplace-5.7.9157-windows-installer.msi
Azria Health,AZCL,https://app.ninjarmm.com/agent/installer/7dbef0b6-13cf-418e-af40-e10fb7b7b18c/azriahealthazclclarinda-5.7.9157-windows-installer.msi
Azria Health,AZRI,https://app.ninjarmm.com/agent/installer/7dbef0b6-13cf-418e-af40-e10fb7b7b18c/azriahealthazricorporate-5.7.9157-windows-installer.msi
Azria Health,AZLK,https://app.ninjarmm.com/agent/installer/7dbef0b6-13cf-418e-af40-e10fb7b7b18c/azriahealthazlkaccordbackoffice-5.7.9157-windows-installer.msi
Azria Health,AZLV,https://app.ninjarmm.com/agent/installer/7dbef0b6-13cf-418e-af40-e10fb7b7b18c/azriahealthazlvlongview-5.7.9157-windows-installer.msi
Azria Health,AZRV,https://app.ninjarmm.com/agent/installer/7dbef0b6-13cf-418e-af40-e10fb7b7b18c/azriahealthazrvrosevista-5.7.9157-windows-installer.msi
Azria Health,AZPR,https://app.ninjarmm.com/agent/installer/7dbef0b6-13cf-418e-af40-e10fb7b7b18c/azriahealthazprprarieridge-5.7.9157-windows-installer.msi
Azria Health,AZWC,https://app.ninjarmm.com/agent/installer/7dbef0b6-13cf-418e-af40-e10fb7b7b18c/azriahealthazwcwichita-5.7.9157-windows-installer.msi
